,Station_id, Avg June Temp,Date
0,USC00513117,78.0,2010-06-01
1,USC00513117,76.0,2010-06-02
2,USC00513117,78.0,2010-06-03
3,USC00513117,76.0,2010-06-04
4,USC00513117,77.0,2010-06-05
5,USC00513117,78.0,2010-06-06
6,USC00513117,77.0,2010-06-07
7,USC00513117,78.0,2010-06-08
8,USC00513117,78.0,2010-06-09
9,USC00513117,79.0,2010-06-10
10,USC00513117,78.0,2010-06-11
11,USC00513117,78.0,2010-06-12
12,USC00513117,78.0,2010-06-13
13,USC00513117,77.0,2010-06-14
14,USC00513117,78.0,2010-06-15
15,USC00513117,78.0,2010-06-16
16,USC00513117,77.0,2010-06-17
17,USC00513117,77.0,2010-06-18
18,USC00513117,82.0,2010-06-19
19,USC00513117,78.0,2010-06-20
20,USC00513117,78.0,2010-06-21
21,USC00513117,78.0,2010-06-22
22,USC00513117,78.0,2010-06-23
23,USC00513117,78.0,2010-06-24
24,USC00513117,77.0,2010-06-25
25,USC00513117,76.0,2010-06-26
26,USC00513117,78.0,2010-06-27
27,USC00513117,78.0,2010-06-28
28,USC00513117,78.0,2010-06-29
29,USC00513117,78.0,2010-06-30
30,USC00513117,77.0,2011-06-01
31,USC00513117,78.0,2011-06-02
32,USC00513117,73.0,2011-06-03
33,USC00513117,70.0,2011-06-04
34,USC00513117,76.0,2011-06-05
35,USC00513117,77.0,2011-06-06
36,USC00513117,77.0,2011-06-07
37,USC00513117,77.0,2011-06-08
38,USC00513117,77.0,2011-06-09
39,USC00513117,78.0,2011-06-10
40,USC00513117,77.0,2011-06-11
41,USC00513117,77.0,2011-06-12
42,USC00513117,78.0,2011-06-13
43,USC00513117,78.0,2011-06-14
44,USC00513117,77.0,2011-06-15
45,USC00513117,78.0,2011-06-17
46,USC00513117,78.0,2011-06-18
47,USC00513117,75.0,2011-06-19
48,USC00513117,76.0,2011-06-20
49,USC00513117,76.0,2011-06-21
50,USC00513117,77.0,2011-06-24
51,USC00513117,78.0,2011-06-25
52,USC00513117,76.0,2011-06-26
53,USC00513117,77.0,2011-06-27
54,USC00513117,75.0,2011-06-28
55,USC00513117,77.0,2011-06-29
56,USC00513117,76.0,2012-06-01
57,USC00513117,76.0,2012-06-02
58,USC00513117,75.0,2012-06-03
59,USC00513117,77.0,2012-06-04
60,USC00513117,77.0,2012-06-05
61,USC00513117,76.0,2012-06-06
62,USC00513117,78.0,2012-06-07
63,USC00513117,77.0,2012-06-08
64,USC00513117,76.0,2012-06-09
65,USC00513117,77.0,2012-06-10
66,USC00513117,76.0,2012-06-11
67,USC00513117,76.0,2012-06-12
68,USC00513117,77.0,2012-06-13
69,USC00513117,77.0,2012-06-14
70,USC00513117,78.0,2012-06-15
71,USC00513117,77.0,2012-06-16
72,USC00513117,77.0,2012-06-17
73,USC00513117,77.0,2012-06-18
74,USC00513117,76.0,2012-06-19
75,USC00513117,75.0,2012-06-20
76,USC00513117,76.0,2012-06-21
77,USC00513117,76.0,2012-06-22
78,USC00513117,77.0,2012-06-23
79,USC00513117,76.0,2012-06-24
80,USC00513117,73.0,2012-06-25
81,USC00513117,73.0,2012-06-26
82,USC00513117,75.0,2012-06-27
83,USC00513117,77.0,2012-06-28
84,USC00513117,76.0,2012-06-29
85,USC00513117,77.0,2012-06-30
86,USC00513117,79.0,2013-06-01
87,USC00513117,78.0,2013-06-02
88,USC00513117,79.0,2013-06-03
89,USC00513117,78.0,2013-06-04
90,USC00513117,78.0,2013-06-05
91,USC00513117,79.0,2013-06-06
92,USC00513117,77.0,2013-06-07
93,USC00513117,77.0,2013-06-08
94,USC00513117,77.0,2013-06-09
95,USC00513117,77.0,2013-06-10
96,USC00513117,77.0,2013-06-11
97,USC00513117,78.0,2013-06-12
98,USC00513117,77.0,2013-06-13
99,USC00513117,76.0,2013-06-14
100,USC00513117,78.0,2013-06-15
101,USC00513117,78.0,2013-06-16
102,USC00513117,77.0,2013-06-17
103,USC00513117,78.0,2013-06-18
104,USC00513117,78.0,2013-06-19
105,USC00513117,73.0,2013-06-20
106,USC00513117,76.0,2013-06-21
107,USC00513117,77.0,2013-06-22
108,USC00513117,75.0,2013-06-23
109,USC00513117,76.0,2013-06-24
110,USC00513117,74.0,2013-06-25
111,USC00513117,75.0,2013-06-26
112,USC00513117,77.0,2013-06-27
113,USC00513117,76.0,2013-06-28
114,USC00513117,77.0,2013-06-29
115,USC00513117,78.0,2013-06-30
116,USC00513117,79.0,2014-06-01
117,USC00513117,77.0,2014-06-02
118,USC00513117,78.0,2014-06-03
119,USC00513117,79.0,2014-06-04
120,USC00513117,78.0,2014-06-05
121,USC00513117,78.0,2014-06-06
122,USC00513117,78.0,2014-06-07
123,USC00513117,78.0,2014-06-08
124,USC00513117,79.0,2014-06-09
125,USC00513117,79.0,2014-06-10
126,USC00513117,82.0,2014-06-11
127,USC00513117,80.0,2014-06-12
128,USC00513117,79.0,2014-06-13
129,USC00513117,79.0,2014-06-14
130,USC00513117,78.0,2014-06-15
131,USC00513117,78.0,2014-06-16
132,USC00513117,77.0,2014-06-17
133,USC00513117,78.0,2014-06-18
134,USC00513117,78.0,2014-06-19
135,USC00513117,73.0,2014-06-20
136,USC00513117,75.0,2014-06-21
137,USC00513117,75.0,2014-06-22
138,USC00513117,76.0,2014-06-23
139,USC00513117,84.0,2014-06-24
140,USC00513117,79.0,2014-06-25
141,USC00513117,76.0,2014-06-26
142,USC00513117,79.0,2014-06-27
143,USC00513117,79.0,2014-06-28
144,USC00513117,77.0,2014-06-29
145,USC00513117,79.0,2014-06-30
146,USC00513117,78.0,2015-06-01
147,USC00513117,78.0,2015-06-02
148,USC00513117,79.0,2015-06-03
149,USC00513117,77.0,2015-06-04
150,USC00513117,79.0,2015-06-05
151,USC00513117,78.0,2015-06-06
152,USC00513117,78.0,2015-06-07
153,USC00513117,78.0,2015-06-08
154,USC00513117,79.0,2015-06-09
155,USC00513117,77.0,2015-06-10
156,USC00513117,78.0,2015-06-11
157,USC00513117,78.0,2015-06-12
158,USC00513117,78.0,2015-06-13
159,USC00513117,78.0,2015-06-14
160,USC00513117,79.0,2015-06-15
161,USC00513117,79.0,2015-06-16
162,USC00513117,77.0,2015-06-17
163,USC00513117,78.0,2015-06-18
164,USC00513117,78.0,2015-06-19
165,USC00513117,78.0,2015-06-20
166,USC00513117,79.0,2015-06-21
167,USC00513117,79.0,2015-06-22
168,USC00513117,77.0,2015-06-23
169,USC00513117,79.0,2015-06-24
170,USC00513117,79.0,2015-06-25
171,USC00513117,79.0,2015-06-26
172,USC00513117,81.0,2015-06-27
173,USC00513117,76.0,2015-06-28
174,USC00513117,80.0,2015-06-29
175,USC00513117,78.0,2015-06-30
176,USC00513117,76.0,2016-06-01
177,USC00513117,71.0,2016-06-02
178,USC00513117,71.0,2016-06-03
179,USC00513117,74.0,2016-06-04
180,USC00513117,76.0,2016-06-05
181,USC00513117,78.0,2016-06-06
182,USC00513117,77.0,2016-06-07
183,USC00513117,77.0,2016-06-08
184,USC00513117,73.0,2016-06-09
185,USC00513117,77.0,2016-06-10
186,USC00513117,78.0,2016-06-11
187,USC00513117,78.0,2016-06-12
188,USC00513117,80.0,2016-06-13
189,USC00513117,79.0,2016-06-14
190,USC00513117,78.0,2016-06-15
191,USC00513117,77.0,2016-06-16
192,USC00513117,76.0,2016-06-17
193,USC00513117,77.0,2016-06-18
194,USC00513117,77.0,2016-06-19
195,USC00513117,78.0,2016-06-20
